"name","rating","service","no_of_emp","cmp_age","location"
"CGI Information Systems And Management Consultants","4.2","Bengaluru/Bangalore +9 more",NULL,NULL,"Bengaluru/Bangalore"
"Bharat Forge","3.8","Iron & Steel "," 1k-5k Employees ","62","Pune"
"Standard Chartered Global Business Services","4","IT Services & Consulting "," 10k-50k Employees ","22","Chennai"
"Iksula","4","IT Services & Consulting "," 201-500 Employees ","16","Mumbai"
"Adani Power","3.9","Power "," 1k-5k Employees ","17","Ahmedabad"
"GE Vernova","4.2","Noida +63 more",NULL,NULL,"Noida"
"Unisys","3.9","IT Services & Consulting "," 1k-5k Employees ","37","Blue Bell"
"TTEC India","3.9","BPO "," 1k-5k Employees ","39","Englewood"
"Gland Pharma","3.9","Pharma "," 1k-5k Employees ","45","Hyderabad/Secunderabad"
"Hero Motors Company","4","Automobile "," 201-500 Employees ","25","New Delhi"
"Sysnet Global Technologies","3.6","IT Services & Consulting "," 1k-5k Employees ","24","Delhi/NCR"
"Indiabulls Home Loans","3.9","NBFC "," 5k-10k Employees ","18","Gurgaon/Gurugram"
"Aptara","3.3","Printing & Publishing "," 1k-5k Employees ","35","Falls Church"
"Sharekhan","4","FinTech "," 1k-5k Employees ","23","Mumbai"
"Supreme Industries","4.1","5k-10k Employees "," Public ","81","Mumbai"
"GMR Group","4.1","Engineering & Construction "," 5k-10k Employees ","45","Delhi/NCR"
"Evalueserve","3.6","IT Services & Consulting "," 1k-5k Employees ","23","Schaffhausen"
"FirstCry","3.8","Retail "," 1k-5k Employees ","13","Pune"
"Sanofi","4.4","Pharma "," 5k-10k Employees ","19","Paris"
"Vfs Global Services","3.8","BPO "," 1k-5k Employees ","22","Mumbai"
"Iris Software","4.3","IT Services & Consulting "," 1k-5k Employees ","32","Edison"
"Adani Ports and SEZ","3.9","Real Estate "," 1k-5k Employees ","25","Ahmedabad"
"Jindal X","3.7","BPO "," 501-1k Employees ","25","New Delhi"
"Cinépolis","4.2","Retail "," 1k-5k Employees ","52","Morelia"
"NSE.IT","3.6","IT Services & Consulting "," 201-500 Employees ","24","Mumbai"
"The Jaypee Group","3.9","Engineering & Construction "," 5k-10k Employees ","44","Noida"
"Amity University","3.7","Education & Training "," 1k-5k Employees ","18","Noida"
"Saipem","3.8","Industrial Machinery "," 10k-50k Employees (Global) ","66","San Donato Milanese"
"Northern Trust Operating Services","4.1","Financial Services "," 5k-10k Employees ","18","Bangalore/Bengaluru"
"Aye Finance","4.2","FinTech "," 1k-5k Employees ","10","Delhi"
"Granules India","4","Pharma "," 1k-5k Employees ","39","Hyderabad/Secunderabad"
"Polycab Wires","4","Electrical Equipment "," 1k-5k Employees ","27","Mumbai"
"Spicejet","3.5","Aviation "," 5k-10k Employees ","19","Gurgaon/Gurugram"
"Ashoka Buildcon","4.1","Engineering & Construction "," 1k-5k Employees ","47","Nasik/Nashik"
"Indiabulls Consumer Finance","3.9","NBFC "," 1k-5k Employees ","29","Mumbai"
"KIA MOTORS","3.8","Automobile "," 1k-5k Employees ","79","Seoul"
"Compass Group Support Services","4","Hospitality "," 10k-50k Employees ","82","Chertsey"
"Altruist Technologies","3.1","Internet "," 51-200 Employees ","18","Chandigarh"
"Manipal Hospitals","4.2","Healthcare "," 5k-10k Employees ","70","Bangalore/Bengaluru"
"Godrej Group","4","FMCG "," 10k-50k Employees ","126","Mumbai"
"SYSKA LED Lights","3.2","Consumer Electronics & Appliances "," 1k-5k Employees (Global) ","11","Pune"
"Videocon d2h","3.9","Internet "," 501-1k Employees ","14","Mumbai"
"ICICI Home Finance","3.9","NBFC "," 1k-5k Employees ","24","Mumbai"
"ITD Cementation India","4.2","Engineering & Construction "," 1k-5k Employees ","92","Mumbai"
"Ab Inbev","3.5","Beverage "," 1k-5k Employees ","35","Leuven"
"Indoco Remedies","3.7","Pharma "," 1k-5k Employees ","76","Mumbai"
"Xiaomi","3.8","Consumer Electronics & Appliances "," 1k-5k Employees ","13","Haidian District"
"Tata Advanced Systems","3.8","Defence & Aerospace "," 5k-10k Employees ","16","Hyderabad/Secunderabad"
"Broadridge Financial Solutions","4","Financial Services "," 1k-5k Employees ","16","New York City"
"Mondelez International","4.5","Food Processing "," 1k-5k Employees ","11","Greater Chicago Area"
"Health Care Global Enterprises","4.1","Healthcare "," 5k-10k Employees ","34","Bangalore/Bengaluru"
"Caterpillar Inc","4.2","Industrial Machinery "," 5k-10k Employees ","98","Deerfield"
"Infinite Computer Solutions","3.7","IT Services & Consulting "," 1k-5k Employees ","22","Rockville"
"MiraMed Ajuba","4","IT Services & Consulting "," 1k-5k Employees ","22","Chennai"
"Asahi India Glass","3.9","Auto Components "," 1k-5k Employees ","39","Gurgaon/Gurugram"
"Steel Strips Wheels","3.8","Auto Components "," 1k-5k Employees ","38","Chandigarh"
"GlaxoSmithKline Pharmaceuticals","4.1","Pharma "," 1k-5k Employees ","500","Brentford"
"Heritage Foods","4","FMCG "," 1k-5k Employees ","31","Hyderabad/Secunderabad"
"TCS iON","3.9","IT Services & Consulting "," 1k-5k Employees ","12","Mumbai"
"Unichem Laboratories","4","Pharma "," 1k-5k Employees ","79","Mumbai"
"Iffco Tokio General Insurance Co.","4.1","Insurance "," 1k-5k Employees ","23","Gurgaon/Gurugram"
"Synchrony","4.4","Financial Services "," 1k-5k Employees ","20","Stamford"
"SKF","3.9","Auto Components "," 1k-5k Employees ","100","Gothenburg"
"AGS Transact Technologies","3.4","BPO "," 10k-50k Employees ","21","Mumbai"
"EYGBS","3.8","50k-1 Lakh Employees "," 5 years old ","5","Bangalore/Bengaluru"
"Altisource","3.7","Real Estate "," 1k-5k Employees ","16","Bangalore/Bengaluru"
"Adani Group","3.9","Power "," 10k-50k Employees ","35","Ahmedabad"
"Best Sellers","4.2","Fashion & Textile "," 1k-5k Employees ","48","Brande"
"DCM Shriram","4.2","Chemicals "," 1k-5k Employees ","33","Delhi/NCR"
"Consolidated Contractors","4.5","Engineering & Construction "," 1k-5k Employees ","71","Marousi"
"DISH TV","3.7","Media & Entertainment "," 1k-5k Employees ","20","Noida"
"FDC","4","Pharma "," 1k-5k Employees ","83","Mumbai"
"DENSO","4.1","Auto Components "," 1k-5k Employees ","76","Kariya"
"GE","4.3","Engineering & Construction "," 1k-5k Employees ","131","Boston"
"IFB","3.7","Consumer Electronics & Appliances "," 201-500 Employees ","49","Kolkata"
"Pine Labs","3.8","FinTech "," 1k-5k Employees ","25","Noida"
"Annapurna Finance","4.1","Financial Services "," 5k-10k Employees ","14","Bhubaneswar"
"Cargill","4.3","Food Processing "," 1k-5k Employees ","158","Wayzata"
"BVG India","4","Facility Management Services "," 50k-1 Lakh Employees ","26","Pune"
"Punj Lloyd","4.3","Engineering & Construction "," 1k-5k Employees ","41","Gurgaon/Gurugram"
"Fidelity National Financial","3.8","Financial Services "," 1k-5k Employees ","176","Bangalore Rural"
"EPAM Systems","3.8","IT Services & Consulting "," 1k-5k Employees ","30","Newtown"
"HighRadius","3.1","FinTech "," 1k-5k Employees ","17","Houston"
"Atul","4","Chemicals "," 1k-5k Employees ","76","Valsad"
"Vestas","4.2","Power "," 1k-5k Employees ","78","Aarhus"
"Devyani International","3.7","Retail "," 5k-10k Employees ","32","Gurgaon/Gurugram"
"Gannon Dunkerley","3.8","Engineering & Construction "," 1k-5k Employees ","99","Mumbai"
"Fino Payments Bank","4.1","FinTech "," 1k-5k Employees ","17","Mumbai"
"Serco","4.4","Analytics & KPO "," 5k-10k Employees ","35","Hook"
"Valeo","4","Auto Components "," 5k-10k Employees ","100","Paris"
"Luminous Power Technologies","4.2","Electrical Equipment "," 1k-5k Employees ","35","Gurgaon/Gurugram"
"Medhaj Techno Concept","4.4","Management Consulting "," 1k-5k Employees ","16","Lucknow"
"Amneal Pharmaceuticals","4.3","Pharma "," 1k-5k Employees ","21","Bridgewater"
"FastInfo","4.4","EdTech "," 501-1k Employees ","4","Kolkata"
"Burger King","3.9","Hospitality "," 5k-10k Employees ","9","Miami"
"Shadowfax Technologies","3.6","Logistics "," 1k-5k Employees ","8","Bangalore"
"ECIL","4.2","Defence & Aerospace "," 501-1k Employees ","56","Hyderabad/Secunderabad"
"GAIL","4.4","Oil & Gas "," 1k-5k Employees ","39","Delhi/NCR"
"TaskUs","3.6","BPO "," 1k-5k Employees ","15","New Braunfels"
"Newgen Software Technologies","3.5","IT Services & Consulting "," 1k-5k Employees ","31","New Delhi"
"Johnson Lifts","4.1","Industrial Machinery "," 1k-5k Employees ","42","Chennai"
"Majorel","4.5","BPO "," 201-500 Employees ","4","Luxembourg"
"Ola Electric Mobility","3.2","Internet "," 1k-5k Employees ","6","Bangalore"
"NeoSOFT","3.7","IT Services & Consulting "," 1k-5k Employees ","27","Mumbai"
"JW Marriott","4.2","Hospitality "," 1k-5k Employees ","96","Bethesda"
"XcelServ Solutions","4.6","IT Services & Consulting "," 501-1k Employees ","12","Las Vegas"
"Redcliffe Labs","4.5","Healthcare "," 1k-5k Employees ","4","Gurgaon"
"Piaggio","3.8","Automobile "," 1k-5k Employees ","139","Pontedera"
"Nielsen","3.9","IT Services & Consulting "," 1k-5k Employees ","100","New York City"
"Oil And Natural Gas Corporation","4.4","Oil & Gas "," 10k-50k Employees ","67","Delhi/NCR"
"Sahara India Pariwar","3.8","Broadcasting "," 5k-10k Employees ","45","Lucknow"
"PharmEasy","3.7","Internet "," 1k-5k Employees ","8","Mumbai"
"Petrofac","4.4","Oil & Gas "," 1k-5k Employees ","42","Jermyn Street"
"iSON Xperiences","3.5","BPO "," 5k-10k Employees ","12","Lagos"
"Bharat Sanchar Nigam","3.9","Telecom "," 50k-1 Lakh Employees ","23","Delhi/NCR"
"Vertex Customer Solutions","3.5","IT Services & Consulting "," 5k-10k Employees ","13","Panchkula"
"SAI Life Sciences","3.8","Pharma "," 1k-5k Employees ","24","Hyderabad"
"Tenneco","3.8","Auto Components "," 1k-5k Employees ","83","Lake Forest"
"Tikona Infinet","3.7","Telecom "," 1k-5k Employees ","15","Mumbai"
"Wheelseye Technology","3.8","Logistics "," 11-50 Employees ","6","Gurgaon"
"Wind World","3.9","Power "," 5k-10k Employees ","29","Mumbai"
"Intertek","3.8","Other "," 1k-5k Employees ","26","London"
"Indegene","3.7","Analytics & KPO "," 1k-5k Employees ","25","Princeton"
"Volkswagen","4.2","Automobile "," 1k-5k Employees ","22","Mumbai"
"Paytm Payments Bank","3.8","FinTech "," 1k-5k Employees ","7","Noida"
"Amara Raja Batteries","4.2","Auto Components "," Fortune India 500 ","500","Tirupati"
"iQor Global Services","3.6","BPO "," 1k-5k Employees ","25","Saint Petersburg"
"PNB Housing Finance","3.9","NBFC "," 1k-5k Employees ","35","Delhi/NCR"
"ManpowerGroup","3.9","Recruitment "," 50k-1 Lakh Employees ","26","New Delhi"
"Gujarat Fluorochemicals","4.2","Chemicals "," 5k-10k Employees ","36","Noida"
"Bajaj Motors","3.8","Automobile "," 5k-10k Employees ","37","Gurgaon"
"LivSpace","3.5","Architecture & Interior Design "," 1k-5k Employees ","8","Bangalore"
"Spencer's Retail","4","Retail "," 1k-5k Employees ","160","Kolkata"
"Clover Infotech","3.7","IT Services & Consulting "," 1k-5k Employees ","29","Mumbai"
"Mahindra CIE Automotive","3.7","Auto Components "," 1k-5k Employees ","24","Mumbai"
"Jubilant Pharmova","4.1","Pharma "," 1k-5k Employees ","45","Noida"
"Eaton Corporation","4","Power "," 5k-10k Employees ","112","Cleveland"
"Vibgyor High School","3.8","Education & Training "," 1k-5k Employees ","19","Mumbai"
"NSH","3.6","Engineering & Construction "," 501-1k Employees ","45","Al Jubail"
"IndiaFirst Life Insurance","4.2","Insurance "," 1k-5k Employees ","14","Mumbai"
"Slk Software Services","3.6","IT Services & Consulting "," 1k-5k Employees ","23","Bangalore/Bengaluru"
"Apco Infratech","3.8","Engineering & Construction "," 1k-5k Employees ","31","Lucknow"
"Suryoday Small Finance Bank","4","Banking "," 1k-5k Employees ","15","Mumbai"
"Jaquar","4.1","Furniture & Furnishing "," 1k-5k Employees ","63","Gurgaon"
"Goldman Sachs","3.7","Investment Banking / Venture Capital / Private Equity "," 10k-50k Employees ","20","New York"
"Siemens Gamesa Renewable Energy","4.1","Power "," 1k-5k Employees ","47","Zamudio"
"Strides Pharma","3.8","Pharma "," 201-500 Employees ","33","Bangalore/Bengaluru"
"Eureka Outsourcing Solutions","3.1","BPO "," 1k-5k Employees ","21","Thane"
"Episource","3.8","IT Services & Consulting "," 1k-5k Employees ","17","Gardena"
"Podar International School","4.3","Education & Training "," 5k-10k Employees ","96","Mumbai"
"Thyrocare Technologies","3.3","Healthcare "," 1k-5k Employees ","27","Mumbai"
"Zydus Lifesciences","4","Pharma "," 10k-50k Employees ","71","Ahmedabad"
"Infogain","3.6","IT Services & Consulting "," 1k-5k Employees ","33","Los Gatos"
"AIIMS","4.2","Healthcare "," 5k-10k Employees ","67","Delhi/NCR"
"Tata 1mg","3.8","Internet "," 1k-5k Employees ","8","Gurgaon"
"Sri Chaitanya Educational Institutions","3.8","Education & Training "," 51-200 Employees ","37","Hyderabad/Secunderabad"
"Sansera Engineering","4.1","Auto Components "," 501-1k Employees ","37","Bangalore/Bengaluru"
"JSW Cement","4","Building Material "," 1k-5k Employees ","14","Mumbai"
"HARMAN","3.8","Consumer Electronics & Appliances "," 5k-10k Employees ","14","Stamford"
"Intex Technologies","3.6","Consumer Electronics & Appliances "," 1k-5k Employees ","27","Delhi/NCR"
"Mando Automotive","3.9","Auto Components "," 1k-5k Employees ","17","Kanchipuram"
"Atos Global IT Solutions And Services","4","IT Services & Consulting "," 5k-10k Employees ","23","Navi Mumbai"
"Alstom","4","Urban Transport "," 5k-10k Employees ","95","Saint-Ouen"
"Tietoevry","4.2","IT Services & Consulting "," 1k-5k Employees ","55","Helsinki"
"Adobe","4.2","Software Product "," 5k-10k Employees ","26","San Jose"
"Sunknowledge Services","4.1","Healthcare "," 51-200 Employees ","17","New York"
"Coca-Cola Company","4.2","Marketing & Advertising "," 201-500 Employees ","137","Atlanta"
"Dhoot Transmission","3.6","Power "," 201-500 Employees ","25","Mumbai"
"QualityKiosk Technologies","3.7","IT Services & Consulting "," 1k-5k Employees ","23","Mumbai"
"TechnipFMC","3.9","Oil & Gas "," 1k-5k Employees ","6","Paris"
"TE Connectivity","4.1","Consumer Electronics & Appliances "," 501-1k Employees ","82","Schaffhausen"
"Godrej Consumer Products","4.2","FMCG "," 1k-5k Employees ","22","Mumbai"
"Kendriya Vidyalaya Sangathan","4.3","Education & Training "," 10k-50k Employees ","60","Delhi/NCR"
"Automotive Manufacturers","4.1","Automobile "," 1k-5k Employees ","75","Mumbai"
"Hinduja Leyland Finance","4.1","FinTech "," 1k-5k Employees ","17","Chennai"
"Aditya Birla Health Insurance Co","3.9","Insurance "," 1k-5k Employees ","8","Mumbai"
"Rockman Industries","3.8","Auto Components "," 1k-5k Employees ","63","Delhi/NCR"
"BGR Energy Systems","3.8","Oil & Gas "," 1k-5k Employees ","38","Nellore"
"Lemon Tree Hotels","4.1","Hospitality "," 1k-5k Employees ","21","Delhi/NCR"
"Tata AutoComp Systems","4","Auto Components "," 1k-5k Employees ","25","Pune"
"SLK Global Services","3.9","IT Services & Consulting "," 51-200 Employees ","23","Dallas"
"1point1 Solutions","3.4","BPO "," 5k-10k Employees ","15","Navi Mumbai"
"Apotex Research","4.4","Pharma "," 201-500 Employees ","20","Brantford"
"Decathlon","4","Retail "," 1k-5k Employees ","47","Lille"
"RBL FinServe","4.1","Financial Services "," 5k-10k Employees ","18","Mumbai"
"Spinny","4","Internet "," 1k-5k Employees ","8","Gurgaon"
"Kirloskar Oil Engines","4.1","Industrial Machinery "," 1k-5k Employees ","77","Pune"
"Vistaar Finance","4.2","Financial Services "," 1k-5k Employees ","13","Bangalore"
"JK Lakshmi Cement","3.9","Building Material "," 1k-5k Employees ","41","Delhi/NCR"
"Hatsun Agro Product","4","FMCG "," 1k-5k Employees ","53","Chennai"
"Schaeffler India","4.2","Auto Components "," 1k-5k Employees ","77","Mumbai"
"Arthur J. Gallagher & Co","3.9","Insurance "," 1k-5k Employees ","21","Pune"
"Viraj Profiles","3.7","Iron & Steel "," 1k-5k Employees ","23","Mumbai"
"Apexon","3.4","IT Services & Consulting "," 1k-5k Employees ","27","Santa Clara"
"Worley","4","Engineering & Construction "," 1k-5k Employees ","52","North Sydney"
"MDIndia Health Insurance TPA","3.9","Insurance "," 5k-10k Employees ","23","Pune"
"Parexel International","4.1","Healthcare "," 1k-5k Employees ","41","Massachusetts"
"Onward Technologies Inc","3.3","Software Product "," 1k-5k Employees ","32","Pune"
"Infinx","3.7","IT Services & Consulting "," 1k-5k Employees ","11","Mumbai"
"V2 Retail","3.5","Fashion & Textile "," 1k-5k Employees ","22","Delhi/NCR"
"Aarvee Associates","3.8","Engineering & Construction "," 1k-5k Employees ","34","Hyderabad/Secunderabad"
"R Systems International","3.5","IT Services & Consulting "," 1k-5k Employees ","30","El Dorado Hills"
"Ceasefire Industries","3.3","Industrial Machinery "," 1k-5k Employees ","21","Noida"
"Shriram Life Insurance","3.9","Insurance "," 1k-5k Employees ","18","Hyderabad/Secunderabad"
"Barbeque Nation","4","Retail "," 5k-10k Employees ","17","Bangalore/Bengaluru"
"Novo Nordisk","4","Pharma "," 1k-5k Employees ","100","New York City"
"PNC Infratech","4","Engineering & Construction "," 5k-10k Employees ","24","Delhi/NCR"
"Power Grid Corporation of India","4.4","Power "," 5k-10k Employees ","34","Gurgaon/Gurugram"
"Foxconn","4","Electronics Manufacturing "," 10k-50k Employees ","49","Taipei"
"Wistron","3.8","Electronics Manufacturing "," 201-500 Employees ","22","Taipei"
"Tata Chemicals","4.1","Chemicals "," 1k-5k Employees ","85","Mumbai"
"Hyundai Mobis","3.8","Auto Components "," 1k-5k Employees ","6","Kanchipuram"
"Hathway","3.7","Media & Entertainment "," 1k-5k Employees ","64","Mumbai"
"Feedback Infrastructure Services","3.6","Engineering & Construction "," 5k-10k Employees ","33","Gurgaon/Gurugram"
"Dana Anand","4.2","Auto Components "," 1k-5k Employees ","30","Delhi/NCR"
"Dana Anand","4.2","Auto Components "," 1k-5k Employees ","30","Delhi/NCR"
"Morningstar","4.1","Financial Services "," 1k-5k Employees ","39","Chicago"
"K12 Techno Services","3.1","EdTech "," 1k-5k Employees ","13","Bangalore/Bengaluru"
"Shubham Housing Development Finance","4.1","NBFC "," 10k-50k Employees ","13","Gurgaon"
"Dixon Technologies","4","Consumer Electronics & Appliances "," 1k-5k Employees ","30","Noida"
"Shalby Hospitals","4.7","Healthcare "," 1k-5k Employees ","29","Ahmedabad"
"Godrej Properties","3.7","Real Estate "," 1k-5k Employees ","33","Mumbai"
"Spandana Sphoorty Financial","3.6","NBFC "," 10k-50k Employees ","25","Hyderabad/Secunderabad"
"VMware Software","4.3","Software Product "," 5k-10k Employees ","25","Palo Alto"
"Bosch Chassis Systems","4.2","Auto Components "," 1k-5k Employees ","72","Gerlingen"
"OM Logistics","4.1","Logistics "," 1k-5k Employees ","24","Delhi/NCR"
"Canara Bank","3.4","Banking "," 50k-1 Lakh Employees ","117","Bangalore/Bengaluru"
"Altimetrik","3.9","IT Services & Consulting "," 1k-5k Employees ","11","Southfield"
"Unicharm","4.2","Beauty & Personal Care "," 1k-5k Employees ","62","Mita"
"The Ramco Cements","4.3","Building Material "," 1k-5k Employees ","62","Chennai"
"Sundaram Clayton","4","Auto Components "," 1k-5k Employees ","61","Chennai"
"Ion Exchange India","3.8","Waste Management "," 1k-5k Employees ","59","Mumbai"
"Edelweiss Tokio Life Insurance","3.9","Financial Services "," 1k-5k Employees ","12","Mumbai"
"Urban Company","3.6","Internet "," 1k-5k Employees ","8","Gurgaon"
"Sonata Software","3.9","IT Services & Consulting "," 1k-5k Employees ","37","Bangalore/Bengaluru"
"Toppr","3.5","EdTech "," 1k-5k Employees ","10","Mumbai"
"Barclays Global Service Centre","4.2","IT Services & Consulting "," 201-500 Employees ","16","Pune"
"Next Education India","3.7","EdTech "," 1k-5k Employees ","16","Hyderabad/Secunderabad"
"Capacit'e Infraprojects","3.6","Engineering & Construction "," 501-1k Employees ","11","Mumbai"
"Nilkamal","3.9","Furniture & Furnishing "," 1k-5k Employees ","42","Mumbai"
"Provana","3.8","Software Product "," 501-1k Employees ","12","Lisle"
"Orion Edutech","3.2","EdTech "," 5k-10k Employees ","17","Kolkata"
"Nirma","4.3","Chemicals "," 10k-50k Employees ","33","Ahmedabad"
"Colgate Palmolive","4.2","FMCG "," 1k-5k Employees ","86","New York"
"UBS","3.9","Financial Services "," 5k-10k Employees ","8","Zurich"
"VIP Industries","3.9","Retail "," 501-1k Employees ","52","Mumbai"
"Pricol","4","Auto Components "," 1k-5k Employees ","48","Coimbatore"
"AstraZeneca","4.2","IT Services & Consulting "," 1k-5k Employees ","24","Cambridge"
"Columbia Asia","4.4","Healthcare "," 1k-5k Employees ","18","Bangalore/Bengaluru"
"Fidelity Investment","4.4","Financial Services "," 5k-10k Employees ","77","Boston"
"Intel","4.3","Semiconductors "," 10k-50k Employees ","55","Santa Clara"
"ThyssenKrupp Industries India","4.1","Industrial Machinery "," 1k-5k Employees ","76","Pune"
"Pizza Hut","4","Hospitality "," 1k-5k Employees ","65","Plano"
"Visionet Systems","3.2","IT Services & Consulting "," 1k-5k Employees ","28","Cranbury"
"Trade India (Infocom Network Private Limited)","3.3","Internet "," 1k-5k Employees ","27","Noida"
"Gmmco","4.1","Real Estate "," 1k-5k Employees ","56","Chennai"
"Airtel Payments Bank","4.2","FinTech "," 501-1k Employees ","7","Delhi/NCR"
"Sundaram Finance","4.2","NBFC "," 1k-5k Employees ","69","Chennai"
"Perfetti Van Melle","4.3","Food Processing "," 1k-5k Employees ","22","Lainate"
"Chetu","3.4","IT Services & Consulting "," 1k-5k Employees ","23","Plantation"
"CarDekho","3.6","Internet "," 1k-5k Employees ","15","Jaipur"
"C&S Electric","3.9","Electrical Equipment "," 5k-10k Employees ","57","Delhi/NCR"
"iMerit","3.9","Software Product "," 1k-5k Employees ","11","Kolkata"
"CSB Bank","3.4","Banking "," 1k-5k Employees ","103","Thrissur/Trichur"
"CenturyPly","4","Furniture & Furnishing "," 1k-5k Employees ","37","Kolkata"
"Mahindra First Choice Wheels","3.9","Automobile "," 201-500 Employees ","29","Mumbai"
"Egis  India Consulting Engineers","4.2","Engineering & Construction "," 1k-5k Employees ","18","Gurgaon/Gurugram"
"Secure Meters","4.1","Electrical Equipment "," 1k-5k Employees ","36","Chandlers Ford"
"Hitachi Astemo","4.1","Auto Components "," 1k-5k Employees ",NULL,"Neemrana"
"eClinicalWorks","4.1","IT Services & Consulting "," 1k-5k Employees ","24","Westborough"
"LOREAL","4.2","Beauty & Personal Care "," 1k-5k Employees ","32","Clichy"
"CADD Centre Training Services","4","Education & Training "," 1k-5k Employees ","35","Chennai"
"Bajaj Housing Finance","3.8","NBFC "," 1k-5k Employees ","15","Pune"
"Teva Pharmaceuticals","4.2","Pharma "," 1k-5k Employees ","44","Dublin"
"Genius Consultants","3.8","Recruitment "," 201-500 Employees ","30","Kolkata"
"GEP Worldwide","3.8","IT Services & Consulting "," 1k-5k Employees ","24","Clark"
"MakeMyTrip","3.8","Travel & Tourism "," 1k-5k Employees ","23","Gurgaon"
"Dassault Systemes","4","Software Product "," 1k-5k Employees ","42","Velizy-villacoublay"
"Reliance AJIO","3.8","Internet "," 1k-5k Employees ","7","Bengaluru"
"MAHLE ANAND Filter Systems","4.1","Auto Components "," 501-1k Employees ","18","Stuttgart"
"Panasonic Life Solutions","4.1","Electrical Equipment "," 1k-5k Employees ","60","Mumbai"
"Exela Technologies","3.4","IT Services & Consulting "," 1k-5k Employees ","12","Irving"
"INDO-MIM","4.2","Industrial Machinery "," 1k-5k Employees ","25","Bangalore/Bengaluru"
"C.R.I. Pumps","3.8","Industrial Machinery "," 1k-5k Employees ","62","Coimbatore"
"Nippon Paint India","4","Chemicals "," 1k-5k Employees ","142","Osaka"
"Syngenta","4.3","Agriculture "," 501-1k Employees ","23","Basel"
"Colliers International","4","Real Estate "," 1k-5k Employees ","28","Ontario"
"TEKsystems","3.7","IT Services & Consulting "," 1k-5k Employees ","40","Hanover"
"Everest Industries","4.1","Building Material "," 1k-5k Employees ","89","Noida"
"Ahluwalia Contracts India","4","Engineering & Construction "," 1k-5k Employees ","58","Delhi/NCR"
"Ruchi Soya Industries","4.1","Food Processing "," 1k-5k Employees ","37","Mumbai"
"Vedanta Resources","3.8","Metals & Mining "," 1k-5k Employees ","47","London"
"Nykaa","3.4","Fitness & Wellness "," 1k-5k Employees ","11","Mumbai"
"Diageo","4.1","Beverage "," 1k-5k Employees ","26","London"
"Jacobs Engineering Group","4.2","Engineering & Construction "," 201-500 Employees ","76","Dallas"
"Huhtamaki","3.9","Packaging "," 1k-5k Employees ","88","Espoo"
"Nexa","4.1","Automobile "," 1k-5k Employees ","8","Delhi/NCR"
"Better.com","3","Financial Services "," 201-500 Employees ","7","New York City"
"Marks & Spencer","4.2","Retail "," 1k-5k Employees ","139","London"
"Yashoda Hospitals","3.9","Healthcare "," 501-1k Employees ","34","Ghaziabad"
"Jakson Group","3.9","Power "," 1k-5k Employees ","76","Noida"
"Amazon Logistics","4.3","Logistics "," 51-200 Employees ",NULL,"Hyderabad/Secunderabad"
"V5 Global Services","3.9","Recruitment "," 10k-50k Employees ","18","Delhi/NCR"
"Imperial Auto Industries","3.8","Automobile "," 1k-5k Employees ","54","Faridabad"
"Medplus(optival Health Solutions)","3.6","501-1k Employees "," Fortune India 500 ","17","Hyderabad"
"Future Supply Chain Solutions","4.3","Logistics "," 1k-5k Employees ","17","Mumbai"
"Neel Metal Products","4.1","Metals & Mining "," 201-500 Employees ",NULL,"Gurgaon"
"Karvy Computershare","3.7",NULL,NULL,NULL,"Hyderabad/Secunderabad"
"Indusind Marketing & Financial Services","4","Financial Services "," 501-1k Employees ","21","Chennai"
"Karvy Stock Broking","3.5","Financial Services "," 1k-5k Employees ","33","Hyderabad/Secunderabad"
"TNQ Technologies","3.7","Printing & Publishing "," 1k-5k Employees ","25","Chennai"
"Sykes Business Services Of India","3.5","BPO "," 10k-50k Employees ","46","Tampa"
"Brillio","3.6","IT Services & Consulting "," 1k-5k Employees ","9","Edison"
"FOCUS EDUMATICS","2.8","EdTech "," 5k-10k Employees ","24","Bangalore/Bengaluru"
"HFCL","4.1","Hardware & Networking "," 1k-5k Employees ","36","Delhi/NCR"
"Pramerica Life Insurance","3.9","Insurance "," 1k-5k Employees ","9","Gurgaon"
"JTEKT","4.2","Auto Components "," 501-1k Employees ","17","Osaka"
"Future Focus Infotech","3.5","IT Services & Consulting "," 5k-10k Employees ","26","Chennai"
"Pernod Ricard","3.8","Beverage "," 1k-5k Employees ","48","Paris"
"THE LEELA PALACES HOTELS & RESORTS","4","Hospitality "," 1k-5k Employees ","40","Mumbai"
"Kinara Capital","4.4","FinTech "," 1k-5k Employees ","12","Bangalore"
"Metropolis Healthcare","4","Healthcare "," 1k-5k Employees ","43","Mumbai"
"Panacea Biotec","3.8","Biotechnology "," 1k-5k Employees ","39","Delhi/NCR"
"Centum Electronics","3.8","Electronics Manufacturing "," 1k-5k Employees ","29","Bangalore/Bengaluru"
"Meril","3.8","Medical Equipment "," 1k-5k Employees ","17","Vapi"
"Uber","4.2","Internet "," 1k-5k Employees ","14","San Francisco"
"Incedo","3.6","IT Services & Consulting "," 1k-5k Employees ","12","Iselin"
"Bank of India","3.9","Banking "," 50k-1 Lakh Employees ","117","Mumbai"
"Evision Technoserve","4.6","Recruitment "," 201-500 Employees ","11","Delhi/NCR"
"Birla Corporation","4.1","Building Material "," 1k-5k Employees ","104","Kolkata"
"KEI Industries","4.1","Electrical Equipment "," 1k-5k Employees ","55","Delhi/NCR"
